timestamp,views,likes,comments
2026-09-11T21:01:11.272459+00:00,116,3,3
2026-09-11T22:01:23.325196+00:00,180,5,6
2026-09-11T23:00:47.399456+00:00,424,5,6
2026-09-12T00:01:27.936342+00:00,957,7,7
2026-09-12T01:00:51.287956+00:00,1702,8,8
2026-09-12T02:00:48.538006+00:00,1929,8,8
2026-09-12T03:01:14.282146+00:00,2316,9,8
2026-09-12T04:00:55.970320+00:00,2572,9,8
2026-09-12T05:01:03.166369+00:00,2757,9,9
2026-09-12T06:01:21.066681+00:00,2912,9,9
2026-09-12T07:00:51.489691+00:00,3053,9,9
2026-09-12T08:00:58.857223+00:00,3157,10,9
2026-09-12T09:00:51.923936+00:00,3257,10,9
