timestamp,views,likes,comments
2026-09-22T00:01:20.960720+00:00,140,2,0
2026-09-22T01:01:25.212532+00:00,342,7,0
2026-09-22T02:01:27.540487+00:00,1303,8,0
2026-09-22T03:01:02.776026+00:00,2446,9,0
2026-09-22T04:00:49.632513+00:00,3223,13,0
2026-09-22T05:01:20.845140+00:00,4539,15,0
2026-09-22T06:00:47.322083+00:00,5253,13,0
2026-09-22T07:01:20.665817+00:00,5698,16,0
2026-09-22T08:01:12.532049+00:00,6110,16,0
2026-09-22T09:01:41.846143+00:00,6383,16,0
2026-09-22T10:01:52.245473+00:00,6671,17,0
2026-09-22T11:01:07.742256+00:00,6751,16,0
