timestamp,views,likes,comments
2026-09-18T23:00:57.398145+00:00,230,8,3
2026-09-19T00:01:15.970334+00:00,1461,43,15
2026-09-19T01:01:12.577167+00:00,2606,63,22
2026-09-19T02:00:58.056139+00:00,6154,86,29
2026-09-19T03:01:04.063758+00:00,9002,98,29
2026-09-19T04:00:19.523568+00:00,11886,109,29
2026-09-19T05:00:24.561794+00:00,15134,116,30
2026-09-19T10:00:18.827705+00:00,20840,140,43
2026-09-20T00:00:21.519510+00:00,27114,183,53
2026-09-20T01:00:19.333487+00:00,27259,185,53
2026-09-20T02:02:14.638909+00:00,27476,186,53
2026-09-20T03:00:49.749502+00:00,27604,186,53
2026-09-20T04:00:47.934952+00:00,27714,186,53
2026-09-20T05:00:47.725664+00:00,27795,188,53
2026-09-20T06:01:10.083871+00:00,27870,189,53
