timestamp,views,likes,comments
2026-09-18T13:01:33.705951+00:00,27,1,0
2026-09-18T14:01:26.952494+00:00,145,4,0
2026-09-18T15:00:52.802059+00:00,222,8,0
2026-09-18T16:01:19.934551+00:00,263,11,3
2026-09-18T17:01:08.070064+00:00,385,12,3
2026-09-18T18:01:17.805106+00:00,523,12,3
2026-09-18T19:01:29.941813+00:00,667,12,3
2026-09-18T20:01:12.581426+00:00,722,13,3
2026-09-18T21:01:26.469139+00:00,773,13,3
2026-09-18T22:01:10.518122+00:00,807,14,3
2026-09-18T23:00:55.076899+00:00,807,14,3
2026-09-19T00:01:14.517644+00:00,869,14,3
2026-09-19T01:01:11.085953+00:00,892,15,3
2026-09-19T02:00:56.323166+00:00,923,15,3
2026-09-19T03:01:05.541232+00:00,956,15,4
2026-09-19T04:00:51.983894+00:00,976,16,4
2026-09-19T05:01:06.413877+00:00,1018,16,4
2026-09-19T06:01:14.191452+00:00,1060,16,4
2026-09-19T07:01:15.956723+00:00,1060,16,4
2026-09-19T08:01:29.667565+00:00,1060,16,4
2026-09-19T09:00:54.825281+00:00,1133,16,4
2026-09-19T10:00:44.783987+00:00,1137,16,4
2026-09-19T11:01:15.040888+00:00,1166,17,4
2026-09-19T12:01:24.419866+00:00,1166,17,4
2026-09-19T13:01:04.969731+00:00,1166,17,4
2026-09-19T14:01:09.864962+00:00,1215,17,4
2026-09-19T15:00:49.266426+00:00,1236,18,4
2026-09-19T16:01:17.884884+00:00,1237,18,4
2026-09-19T17:00:58.163308+00:00,1237,18,4
