timestamp,views,likes,comments
2026-09-22T08:01:12.994379+00:00,268,6,0
2026-09-22T09:01:42.614181+00:00,525,12,4
2026-09-22T10:01:52.648200+00:00,1270,24,7
2026-09-22T11:01:08.196324+00:00,2284,34,7
2026-09-22T12:01:03.986815+00:00,3354,39,9
2026-09-22T13:01:38.450629+00:00,4729,51,9
2026-09-22T14:01:18.366615+00:00,6004,55,10
2026-09-22T15:00:52.418466+00:00,7016,60,10
2026-09-22T16:01:09.961987+00:00,7729,62,10
2026-09-22T17:01:18.144858+00:00,8400,59,12
2026-09-22T18:01:24.827981+00:00,8930,62,12
2026-09-22T19:01:28.942148+00:00,9220,66,12
2026-09-22T20:01:16.109799+00:00,9464,69,12
