timestamp,views,likes,comments
2026-09-20T17:01:08.377751+00:00,334,7,8
2026-09-20T18:01:07.409719+00:00,505,10,10
2026-09-20T19:01:11.125810+00:00,2031,12,10
2026-09-20T20:00:57.255012+00:00,3188,16,10
2026-09-20T21:01:15.800753+00:00,5150,18,11
2026-09-20T22:01:15.082337+00:00,6820,19,11
2026-09-20T23:01:15.476914+00:00,7495,20,11
2026-09-21T00:01:20.969384+00:00,8103,21,11
2026-09-21T01:00:49.291653+00:00,8520,23,12
2026-09-21T02:01:18.585360+00:00,8897,22,12
2026-09-21T03:01:19.409859+00:00,9284,22,12
2026-09-21T04:01:32.875097+00:00,9590,24,13
2026-09-21T05:01:08.009115+00:00,9895,26,13
