timestamp,views,likes,comments
2026-09-14T08:01:12.407452+00:00,1707,35,4
2026-09-14T09:01:09.532750+00:00,3027,79,13
2026-09-14T10:01:31.115990+00:00,5822,107,16
2026-09-14T11:01:08.310237+00:00,8258,125,26
2026-09-14T12:00:44.636718+00:00,9830,147,34
2026-09-14T13:00:46.568457+00:00,14596,171,36
2026-09-14T14:00:48.076385+00:00,20008,191,38
2026-09-14T15:01:18.899929+00:00,25218,206,41
2026-09-14T16:01:18.866067+00:00,32033,216,42
2026-09-14T17:01:34.270223+00:00,34395,223,42
2026-09-14T18:00:34.890891+00:00,36084,227,42
2026-09-14T19:01:11.774977+00:00,37488,233,43
2026-09-14T20:01:21.805535+00:00,38744,239,46
2026-09-14T21:00:56.166201+00:00,39956,246,47
2026-09-14T22:01:17.992213+00:00,40895,256,53
2026-09-14T23:01:28.992446+00:00,42257,261,56
