timestamp,views,likes,comments
2026-09-18T22:01:11.811177+00:00,253,13,0
2026-09-18T23:00:56.919206+00:00,373,22,0
2026-09-19T00:01:15.832038+00:00,1692,23,0
2026-09-19T01:01:12.444212+00:00,2084,27,0
2026-09-19T02:00:57.836589+00:00,2691,27,0
2026-09-19T03:01:04.510644+00:00,3552,29,0
2026-09-19T04:00:20.186784+00:00,3917,31,0
2026-09-19T05:00:25.414706+00:00,4218,32,0
2026-09-19T10:00:19.514432+00:00,5252,40,0
2026-09-20T00:00:22.194154+00:00,7651,50,0
2026-09-20T01:00:19.945931+00:00,7841,50,0
2026-09-20T02:02:15.361805+00:00,8146,52,0
2026-09-21T00:00:23.685944+00:00,11693,67,1
2026-09-21T02:00:21.265077+00:00,11939,67,1
2026-09-21T03:00:24.288518+00:00,12071,69,1
2026-09-21T04:00:24.353326+00:00,12180,70,1
2026-09-21T05:00:21.847856+00:00,12321,70,1
2026-09-21T23:00:23.097054+00:00,13988,78,1
