timestamp,views,likes,comments
2026-09-13T15:01:07.591639+00:00,486,18,2
2026-09-13T16:01:17.225400+00:00,816,48,6
2026-09-13T17:01:13.815939+00:00,1334,63,7
2026-09-13T18:01:16.182225+00:00,1762,76,9
2026-09-13T19:00:56.863391+00:00,1910,92,13
2026-09-13T20:01:20.266767+00:00,3800,110,15
2026-09-13T21:00:42.226987+00:00,7797,124,15
2026-09-13T22:00:58.823870+00:00,10014,135,15
2026-09-13T23:00:58.018297+00:00,14329,141,19
2026-09-14T00:00:10.467539+00:00,15312,150,19
2026-09-14T03:00:09.223844+00:00,23146,179,21
2026-09-14T04:00:30.397696+00:00,26718,185,21
2026-09-14T23:00:12.415083+00:00,44072,255,34
2026-09-15T00:00:09.370262+00:00,44457,260,34
2026-09-16T02:00:09.069271+00:00,64180,398,58
