timestamp,views,likes,comments
2026-09-15T16:01:50.710153+00:00,497,19,6
2026-09-15T17:01:07.057107+00:00,845,29,13
2026-09-15T18:00:58.236853+00:00,888,34,16
2026-09-15T19:01:31.499720+00:00,888,37,18
2026-09-15T20:00:44.259421+00:00,1009,38,18
2026-09-15T21:01:12.822500+00:00,3886,39,18
2026-09-15T22:01:36.334601+00:00,5261,39,20
2026-09-15T23:01:27.723069+00:00,5820,37,20
2026-09-16T00:00:39.016667+00:00,6180,39,20
2026-09-16T01:01:06.955322+00:00,6503,40,21
2026-09-16T02:01:05.468739+00:00,6717,41,22
2026-09-16T03:00:14.998557+00:00,6882,41,23
